"Date","Price","Open","High","Low","Vol.","Change %"
"02/23/2025","95,762.9","96,556.2","96,655.2","95,259.5","38.01K","-0.82%"
"02/16/2025","96,556.1","97,573.1","99,473.4","93,403.4","435.85K","-1.04%"
"02/09/2025","97,573.4","96,448.4","98,817.3","94,110.7","472.80K","1.17%"
"02/02/2025","96,447.9","100,647.1","102,372.2","91,695.8","759.78K","-4.17%"
"01/26/2025","100,648.0","104,743.8","106,409.1","97,987.5","566.28K","-3.91%"
"01/19/2025","104,742.9","104,536.8","109,228.6","99,676.0","840.03K","0.20%"
"01/12/2025","104,536.9","94,598.0","105,843.8","89,664.8","662.20K","10.51%"
"01/05/2025","94,596.7","98,220.1","102,678.2","91,241.9","695.32K","-3.69%"
"12/29/2024","98,219.9","95,282.6","98,963.3","91,522.3","476.14K","3.08%"
"12/22/2024","95,284.5","97,281.6","99,922.5","92,543.2","584.64K","-2.02%"
"12/15/2024","97,253.3","101,417.9","108,244.9","92,301.9","1.34M","-4.11%"
"12/08/2024","101,417.7","99,837.0","102,633.0","94,304.5","1.49M","1.58%"
"12/01/2024","99,837.0","96,404.7","103,719.4","92,510.4","1.02M","3.56%"
"11/24/2024","96,405.7","97,696.4","98,872.4","90,817.2","659.36K","-1.32%"
"11/17/2024","97,699.0","90,569.4","99,617.4","88,736.1","938.17K","7.91%"
"11/10/2024","90,539.1","76,681.4","93,226.6","76,520.5","1.46M","18.04%"
"11/03/2024","76,700.3","69,334.8","77,188.5","66,834.0","1.14M","10.64%"
"10/27/2024","69,325.8","67,084.7","73,569.4","66,924.6","769.03K","3.34%"
"10/20/2024","67,086.8","68,373.3","69,490.8","65,246.7","630.37K","-1.88%"
"10/13/2024","68,372.0","63,205.4","68,990.3","62,054.2","674.99K","8.17%"
"10/06/2024","63,205.1","62,062.0","64,449.3","59,075.7","505.23K","1.84%"
"09/29/2024","62,061.4","65,862.8","66,065.7","59,904.4","591.90K","-5.78%"
"09/22/2024","65,866.5","63,351.2","66,440.7","62,394.6","517.48K","3.98%"
"09/15/2024","63,348.1","59,995.6","64,085.1","57,527.8","642.91K","5.59%"
"09/08/2024","59,995.4","54,161.4","60,625.4","53,642.4","637.99K","10.78%"
"09/01/2024","54,156.5","58,975.7","59,799.7","52,644.6","718.72K","-8.18%"
"08/25/2024","58,978.6","64,160.7","64,939.2","57,874.7","588.30K","-8.07%"
"08/18/2024","64,159.3","59,485.4","64,830.1","57,872.0","565.27K","7.86%"
"08/11/2024","59,483.1","60,929.8","61,677.3","56,275.7","454.19K","-2.38%"
"08/04/2024","60,931.7","60,700.2","62,563.5","49,486.9","856.80K","0.39%"
"07/28/2024","60,696.7","67,888.9","70,000.2","59,914.6","492.61K","-10.53%"
"07/21/2024","67,843.1","67,147.8","69,387.6","63,500.9","413.90K","1.03%"
"07/14/2024","67,148.5","59,207.9","67,586.4","59,207.9","519.22K","13.41%"
"07/07/2024","59,209.8","58,240.2","59,826.5","54,320.0","442.60K","1.63%"
"06/30/2024","58,259.2","60,973.1","63,842.1","53,883.4","674.06K","-4.45%"
"06/23/2024","60,973.4","64,261.0","64,518.9","58,589.9","439.02K","-5.12%"
"06/16/2024","64,261.0","66,223.0","67,253.8","63,427.9","398.24K","-2.96%"
"06/09/2024","66,223.0","69,310.5","70,152.5","65,076.5","436.55K","-4.45%"
"06/02/2024","69,310.1","67,760.8","71,956.5","67,330.6","455.56K","2.29%"
"05/26/2024","67,760.8","69,287.2","70,638.3","66,676.8","385.09K","-2.20%"
"05/19/2024","69,284.4","66,919.0","71,872.0","65,937.3","534.40K","3.54%"
"05/12/2024","66,917.5","60,826.6","67,420.7","60,647.1","469.69K","10.01%"
"05/05/2024","60,826.6","63,897.7","65,448.8","60,251.8","455.08K","-4.79%"
"04/28/2024","63,888.3","63,457.9","64,700.2","56,643.5","693.18K","0.68%"
"04/21/2024","63,456.8","64,942.1","67,208.0","62,507.7","451.32K","-2.32%"
"04/14/2024","64,961.1","63,909.5","66,805.1","59,693.3","869.36K","1.74%"
"04/07/2024","63,849.9","68,897.3","72,710.8","61,065.5","680.91K","-7.32%"
"03/31/2024","68,890.6","69,608.5","71,367.5","64,559.0","649.77K","-1.04%"
"03/24/2024","69,611.5","64,036.5","71,670.8","63,812.9","583.25K","8.70%"
"03/17/2024","64,037.8","65,314.2","68,920.1","60,850.9","644.98K","-1.95%"
"03/10/2024","65,314.2","68,360.7","73,740.9","64,971.0","753.56K","-4.46%"
"03/03/2024","68,366.5","61,955.6","69,904.0","60,138.2","796.49K","10.28%"
"02/25/2024","61,994.5","51,572.1","63,915.3","50,925.2","642.90K","20.21%"
